,Parametro,Prob,
801,PONCIANO ARRIAGA,9.73E-05,
753,MAGISTERIAL,9.73E-05,
852,CUMBRES DE TEPETONGO,9.73E-05,
1261,SAN AGUSTIN,9.73E-05,
1273,EL EBANO,9.73E-05,
1236,TIERRA UNIDA,9.73E-05,
1373,SANTA LUCIA REACOMODO,9.73E-05,
795,LAS ANIMAS,9.73E-05,
787,P.E.Z.,9.73E-05,
1235,MIRADOR I,9.73E-05,
1231,EL CHAMIZAL (LA MAGUEYERA EL RETIRO),9.73E-05,
1204,ALAMEDA SUR,9.73E-05,
1278,CANUTILLO,9.73E-05,
1286,COPILCO UNIVERSIDAD ISSSTE,9.73E-05,
1460,RINCON DE LA BOLSA,9.73E-05,
1160,ALCANTARILLA,9.73E-05,
1288,SAN LUCAS ORIENTE,9.73E-05,
1123,LA PRESA,9.73E-05,
1316,CUAUTEPEC BARRIO ALTO,9.73E-05,
1047,SAN ISIDRO TULYEHUALCO,9.73E-05,
1081,TOLTENCO,9.73E-05,
868,PLAN DE IGUALA,9.16E-05,
910,DIVISION DEL NORTE INFONAVIT,9.16E-05,
912,AMPLIACION SAN JUAN DE ARAGON CTM,9.16E-05,
1315,EL MILAGRO,9.16E-05,
854,EX ESCUELA DE TIRO,9.16E-05,
1433,CENTRO URBANO PRESIDENTE MIGUEL ALEMÃN,9.16E-05,
1395,ABDIAS GARCIA SOTO,9.16E-05,
729,SAN PEDRO APOSTOL,9.16E-05,
1193,SECTOR 17,9.16E-05,
1398,EL GAVILÃN,9.16E-05,
1178,AMPLIACION LOMAS DE SANTO DOMINGO,9.16E-05,
552,AJUSCO MONTSERRAT,9.16E-05,
362,LAS FLORES,9.16E-05,
1113,BOSQUES DE TARANGO,9.16E-05,
1374,FAJA DE ORO,9.16E-05,
1029,RANCHO LOS COLORINES,8.58E-05,
1419,LOMAS DE CUILOTEPEC,8.58E-05,
1266,TECACALANCO,8.58E-05,
1050,LOMAS DE NATIVITAS,8.58E-05,
1061,RINCONADA DEL SUR,8.58E-05,
1064,PODER POPULAR MERCED GOMEZ,8.58E-05,
102,SAN MIGUEL (SANTA ANA TLACOTENCO),8.58E-05,
1097,CHIMALLI,8.58E-05,
1192,VILLAS COPILCO,8.58E-05,
1175,ZEDEC AMPLIACION PLAN DE AYALA,8.58E-05,
1128,BARRIO SANTIAGO,8.58E-05,
1012,VERANO,8.58E-05,
1112,VASO DE REGULACION,8.58E-05,
917,24 DE ABRIL,8.58E-05,
1485,LA PRESA SECCION HORNOS,8.58E-05,
22,MOSCO CHINAMPA,8.58E-05,
581,LOMAS AXOMIATLA,8.58E-05,
777,AMPLIACION SIMON BOLIVAR,8.58E-05,
827,INFONAVIT CAMINO SAN JUAN DE ARAGON,8.58E-05,
1446,MONTE ALTO,8.58E-05,
1464,RINCONADA LAS PLAYAS INFONAVIT,8.58E-05,
976,ESTADIO AZTECA,8.58E-05,
676,AMPLIACION 7 DE JULIO,8.58E-05,
973,PLAZA ORIENTE,8.58E-05,
1360,TAXQUENA,8.01E-05,
1101,BARRIO SAN DIEGO,8.01E-05,
1352,PRECONCRETO,8.01E-05,
1383,PRADOS DE CUAUTEPEC,8.01E-05,
1049,JOYAS DEL PEDREGAL,8.01E-05,
1392,RINCON DEL PEDREGAL,8.01E-05,
176,EL JAG?EY,8.01E-05,
1408,MANZANASTITLA,8.01E-05,
818,BARRIO LA LONJA,8.01E-05,
968,TRIUNFO DE LA REPUBLICA,8.01E-05,
249,VALLE DE LUCES 1A SECCION,8.01E-05,
1314,PUERTA GRANDE,8.01E-05,
1226,PLANETARIO LINDAVISTA,8.01E-05,
889,EL POCITO,8.01E-05,
1223,BOSQUES 2A SECCION,8.01E-05,
1069,PATRIMONIO FAMILIAR,7.44E-05,
1342,MADERO,7.44E-05,
1259,GAMITOS,7.44E-05,
662,RESIDENCIAL HACIENDA COAPA,7.44E-05,
1298,RESIDENCIAL ALDAMA,7.44E-05,
1327,REFORMA EDUCATIVA,7.44E-05,
1222,FIVIPOR,7.44E-05,
1034,VALLE DE LUCES,7.44E-05,
1448,LA ARANA,7.44E-05,
1443,BARRIO SAN JUAN MOYOTEPEC,7.44E-05,
1017,IGNACIO ALLENDE,7.44E-05,
293,LOMAS DE TONALCO,7.44E-05,
76,BARRIO SAN AGUSTIN,7.44E-05,
367,RINCONADA COAPA 1A SECCION,7.44E-05,
1463,CUCHILLA DEL MORAL 1,7.44E-05,
1452,COLINAS DE TARANGO,7.44E-05,
515,AMPLIACION DEL CARMEN,7.44E-05,
1098,POTRERO DEL LLANO,6.87E-05,
1238,PEDREGAL DE COYOACÃN,6.87E-05,
1194,HACIENDA SAN JUAN,6.87E-05,
771,CABEZA DE JUAREZ VIII,6.87E-05,
886,LOMAS DE TEPEMECATL,6.87E-05,
1270,MILITAR 1 K LOMAS DE SOTELO,6.87E-05,
1080,ACUILOTLA,6.87E-05,
1087,LOMAS DEL PEDREGAL FRAMBOYANES,6.87E-05,
1225,LA NORIA III,6.87E-05,
132,POLOTLAN,6.87E-05,
1304,IGNACIO MANUEL ALTAMIRANO,6.87E-05,
1102,PARQUE RECREATIVO SANTA CRUZ MEYEHUALCO,6.87E-05,
1301,VALLE DE LUCES 3A SECCION,6.87E-05,
1435,FLOR DE MARIA,6.87E-05,
1432,UNIDAD NARVARTE IMSS,6.87E-05,
1028,PIRU SANTA LUCIA,6.87E-05,
1412,La Guadalupita,6.87E-05,
1036,ESTACION PANTACO,6.87E-05,
1402,LA SOLEDAD,6.87E-05,
1397,BARRIO LAS CRUCES,6.87E-05,
1396,MOLINO DE ROSAS,6.87E-05,
1331,LOMAS ESTRELLA,6.87E-05,
1465,LOMAS DE SANTO DOMINGO,6.87E-05,
1361,JUSTO SIERRA,6.87E-05,
1470,EX EJIDO SAN JUAN DE ARAGON SECTOR 32,6.87E-05,
1478,PEDREGAL 2,6.87E-05,
1078,VILLA HERMOSA,6.87E-05,
661,EJIDO SAN MATEO,6.87E-05,
1004,MARIA ESTHER ZUNO DE ECHEVERRIA,6.87E-05,
1303,OJITO DE AGUA,6.87E-05,
1133,LAS ARMAS,6.30E-05,
1203,LOMAS DE GUADALUPE,6.30E-05,
588,SANTA FE INFONAVIT,6.30E-05,
758,MANUEL RIVERA ANAYA CROC 1,6.30E-05,
1120,AGUA BENDITA,6.30E-05,
1184,SANTA CRUZ (DEL PUEBLO DE SAN ANDRES MIXQUIC),6.30E-05,
1439,ISIDRO FABELA SECCION CANTIL,6.30E-05,
1232,MANUEL GUTIERREZ NAJERA,6.30E-05,
1246,LAS AGUILAS SECCION HORNOS,6.30E-05,
1250,LA MARTINICA II,6.30E-05,
1253,SAN LORENZO TEZONCO FOVISSSTE,6.30E-05,
1086,PUEBLO NUEVO,6.30E-05,
906,INTEGRACION LATINOAMERICANA,6.30E-05,
1484,LA GUADALUPANA,6.30E-05,
1305,SAN ANDRES DE LAS SALINAS,6.30E-05,
1325,SIERRA DEL VALLE,6.30E-05,
1345,BARRIO TULA,6.30E-05,
1382,19 DE MAYO,6.30E-05,
1394,TECOLALCO,6.30E-05,
1038,EL PIRU SANTA FE,6.30E-05,
1447,TENORIOS 1,6.30E-05,
1418,ALBARRADA I,6.30E-05,
1045,SANTA MARIA DEL MONTE,6.30E-05,
1593,JOSE MARIA MORELOS Y PAVON 1,5.72E-06,
1498,PERIFERICO,5.72E-06,
1552,POTRERO ACOXPA,5.72E-06,
1562,VILLA VALBADENA,5.72E-06,
1560,VILLA CHARRA DEL PEDREGAL,5.72E-06,
1557,CAMPO DE TIRO LOS GAMITOS,5.72E-06,
1420,BELEN DE LAS FLORES SECCION RANCHERIA,5.72E-06,
1556,MANANTIALES,5.72E-06,
1553,CERRO DEL JUDIO,5.72E-06,
1547,LOMA BONITA,5.72E-06,
1378,AREA FEDERAL SUB ESTACION ELECTRICA,5.72E-06,
1543,RESIDENCIAL VILLA PRADO COAPA,5.72E-06,
1540,LOCAXCO,5.72E-06,
1469,MILPA LOS CERROS,5.72E-06,
1471,CASA DEL AGRONOMO,5.72E-06,
1491,PIRU XOCOMECATLA,5.72E-06,
1492,ESTRELLA SANTA FE,5.72E-06,
1501,CAMPAMENTO LA ESMERALDA,5.72E-06,
1386,MALVINAS SEGUNDO,5.72E-06,
1566,EL MIRADOR (SANTIAGO TULYEHUALCO),5.72E-06,
1582,LOTERIA NACIONAL,5.72E-06,
1251,GRACIANO SÃNCHEZ,5.72E-06,
1591,SAN MIGUEL 1 SECCION,5.72E-06,
1588,CEHUAYA,5.72E-06,
1586,LA GALVIA,5.72E-06,
1583,LÃZARO TATA,5.72E-06,
1267,ALCANFORES,5.72E-06,
1579,PLAN DE BARRANCAS,5.72E-06,
1578,SEARS ROEBUCK,5.72E-06,
1572,BOSQUES RESIDENCIAL CIPRES,5.72E-06,
1571,GAONA ARMENTA,5.72E-06,
1366,EL MIRADOR DEL PUEBLO TETELPAN,5.72E-06,
1569,TRONCOSO,5.72E-06,
743,LAS AGUILAS 2O PARQUE,5.72E-05,
1542,BELEN DE LAS FLORES SECCION CUCHILLA,5.72E-05,
401,PACIFICO,5.72E-05,
872,ALTILLO UNIVERSIDAD,5.72E-05,
881,3 FUENTES,5.72E-05,
276,MIRADOR DEL VALLE,5.72E-05,
908,VILLA PROGRESISTA,5.72E-05,
1005,EQUIPAMIENTO FABRICA FISISA,5.72E-05,
1377,SANTA CRUZ CHAVARRIETA,5.72E-05,
1275,BOSQUE,5.72E-05,
1410,QUIRINO MENDOZA,5.72E-05,
1416,LOMAS DEL PEDREGAL,5.72E-05,
1023,1Ã¸ DE MAYO,5.72E-05,
1421,BARRIO SAN JUAN MINAS,5.72E-05,
1431,VILLA TLALPAN,5.72E-05,
1441,EL MIRADOR I(SAN LUCAS XOCHIMANCA),5.72E-05,
1254,LA NORIA I,5.72E-05,
941,BARRIO LOS REYES,5.72E-05,
1088,AMPLIACION LA CONCHITA,5.72E-05,
1350,SAN BUENAVENTURA,5.72E-05,
454,EMPLEADOS FEDERALES,5.15E-05,
416,PARQUE TARANGO,5.15E-05,
1329,LOMA DEL OCOTE,5.15E-05,
1085,TECORRAL,5.15E-05,
1252,SAUZALES CEBADALES,5.15E-05,
1096,EQUIPAMIENTO PREPARATORIA NUM. 5,5.15E-05,
1306,VIVEROS COATECTLÃN,5.15E-05,
1075,LOS SAUCES,5.15E-05,
1407,EL JAGÃEY,5.15E-05,
668,ALAMEDA ORIENTE,5.15E-05,
1370,FAROLES DEL PEDREGAL,5.15E-05,
1513,VILLA CUEMANCO INFONAVIT,5.15E-05,
1417,AMPLIACION SIFON,5.15E-05,
1544,LAS HUERTAS,5.15E-05,
1438,SAN SALVADOR CUAUHTENCO SECCION II,5.15E-05,
1467,BARRIO LA SANTISIMA,5.15E-05,
1539,EL MIRADOR 3A SECCION,5.15E-05,
1237,EMILIANO ZAPATA 1A SECCION,5.15E-05,
1534,PEDREGAL DEL LAGO,5.15E-05,
1219,TLACAELEL 1,5.15E-05,
0,AMPLIACION ESTADO DE HIDALGO,5.15E-05,
1207,ROMULO SANCHEZ MIRELES,4.58E-05,
1147,EL METRO - BARRIO,4.58E-05,
1455,QUETZALCOATL,4.58E-05,
1322,NUEVA EL ROSARIO,4.58E-05,
1296,RESIDENCIAL MAR DE LA TRANQUILIDAD,4.58E-05,
1481,VISTAS DEL MAUREL,4.58E-05,
1121,DE SAN JUAN TLALPAN,4.58E-05,
1134,LA VIGA,4.58E-05,
1369,TETLALPAN,4.58E-05,
1248,ISSSTE,4.58E-05,
1426,REAL DEL SUR,4.58E-05,
1415,EVA SÃMANO DE LOPEZ MATEOS,4.58E-05,
1425,TIZAMPAMPANO DEL PUEBLO TETELPAN,4.58E-05,
613,HOGARES FERROCARRILEROS,4.58E-05,
1535,BARRIO EL TRUENITO,4.58E-05,
691,BATALLON DE SAN PATRICIO,4.58E-05,
1174,AMPLIACION LA CEBADA,4.58E-05,
1218,LA CONCHITA ZAPOTITLÃN,4.58E-05,
1166,LOMAS DE SAN JUAN IXHUATEPEC 2A SECCION,4.58E-05,
398,TENORIOS 2,4.58E-05,
1353,AMPLIACION SAN MIGUEL,4.58E-05,
892,XOPA,4.01E-05,
1541,LA REGADERA,4.01E-05,
1230,FUENTES DE ZARAGOZA,4.01E-05,
1247,AMPLIACION POPO,4.01E-05,
1289,AMANECER BELLAVISTA,4.01E-05,
702,AMPLIACION VENUSTIANO CARRANZA,4.01E-05,
1297,LA JOYITA DEL PUEBLO TETELPAN,4.01E-05,
894,ARCOS DEL SUR,4.01E-05,
1208,PANTEON SANTA FE,4.01E-05,
1271,LOMAS DE REFORMA,4.01E-05,
1466,PANAMERICANA,4.01E-05,
1462,EL TEJOCOTE,4.01E-05,
1323,Pueblo San Antonio Tecomitl (LAS JOYAS),4.01E-05,
992,REACOMODO PINO SUÃREZ,4.01E-05,
1334,GLORIETA DE VAQUERITOS,4.01E-05,
1333,AARON SÃENZ,4.01E-05,
1380,1Â° DE MAYO,4.01E-05,
913,TEPANTITLAMILCO,4.01E-05,
1449,EL HUESO INFONAVIT,4.01E-05,
1362,EMILIANO ZAPATA 2A SECCION,4.01E-05,
1454,BARRIO 3 DE MAYO,4.01E-05,
1319,LA MILAGROSA,4.01E-05,
1409,AMPLIACION DOS RIOS,4.01E-05,
1379,AMADO NERVO,3.43E-05,
1351,NUEVA TENOCHTITLÃN,3.43E-05,
1363,2A AMPLIACION LA MEXICANA,3.43E-05,
517,LOMAS DEL CAPULIN,3.43E-05,
1356,EL MOLINITO,3.43E-05,
1388,ATLAMAXAC,3.43E-05,
1521,COLA DE PATO - PUEBLO,3.43E-05,
1364,MÃRTIRES DE TLATELOLCO,3.43E-05,
1335,TEHUIXTITLA,3.43E-05,
1344,ARCOS LA ESMERALDA,3.43E-05,
1515,ESTADIO OLIMPICO MEXICO 68,3.43E-05,
1512,GOLONDRINAS 2A SECCION,3.43E-05,
571,TEPOPOTLA,3.43E-05,
1494,EL ENCANTO,3.43E-05,
1330,ESCUELA DE TIRO,3.43E-05,
1272,LA VALENCIANA,3.43E-05,
1489,ALDAMA,3.43E-05,
1479,UNIDAD MONSERRAT,3.43E-05,
1451,EL RUEDO,3.43E-05,
1472,PROLONGACION LOS ANGELES,3.43E-05,
1497,RESERVA ECOLOGICA TORRES DE POTRERO,3.43E-05,
1368,INDECO,3.43E-05,
1043,MEMETLA,3.43E-05,
1139,CANTERA,3.43E-05,
1090,AMPLIACION TLACUITLAPA,3.43E-05,
1189,COOPERATIVA BIATLON,2.86E-05,
1282,UNIDAD HAB. U.S.O.V.I.,2.86E-05,
1525,ACOCA,2.86E-05,
1524,CUITLAHUAC,2.86E-05,
1561,PRIVADA DEL RINCON,2.86E-05,
1149,CAMISETAS - BARRIO,2.86E-05,
1520,VALLE DE SANTA MARIA,2.86E-05,
1245,INDUSTRIAS MILITARES DE SEDENA,2.86E-05,
1516,JUAN DE DIOS BÃTIZ,2.86E-05,
1502,TRES MOSQUETEROS,2.86E-05,
28,NATIVITAS (PUEBLO SAN LUCAS XOCHIMANCA),2.86E-05,
1496,TENORIOS FOVISSSTE,2.86E-05,
1564,NORMA FOVISSSTE,2.86E-05,
1299,AREA FEDERAL PARQUE CUITLAHUAC,2.86E-05,
1480,P.R.I.,2.86E-05,
1528,2O REACOMODO CORPUS CHRISTI,2.86E-05,
1458,RINCONADA DE TARANGO,2.86E-05,
195,SAN AGUSTIN DEL PUEBLO TETELPAN,2.86E-05,
1442,CANUTILLO 3A SECCION,2.86E-05,
1339,EL ENCINO DEL PUEBLO TETELPAN,2.86E-05,
1341,XOCHIMILCO,2.86E-05,
1347,CLUB DE GOLF BOSQUES,2.86E-05,
1413,TORRES DE SAN JUAN,2.86E-05,
955,PARAJE TETENCO,2.86E-05,
1405,SAN MIGUEL 2 SECCION,2.86E-05,
1393,ESTADO DE HIDALGO I,2.86E-05,
1359,TEMASTITITLA,2.86E-05,
1526,AMPLIACION TLACUITLAPA II,2.86E-05,
1403,ANTONIO CARRILLO FLORES,2.86E-05,
1529,1Â DE MAYO,2.86E-05,
1555,OCOTILLOS DEL PUEBLO TETELPAN,2.86E-05,
1205,PUENTE SIERRA,2.86E-05,
1437,SANTA  CECILIA TEPETLAPA,2.29E-05,
1507,LOS GAMITOS,2.29E-05,
1504,VILLA DEL PUENTE,2.29E-05,
1265,TEXCALTENCO,2.29E-05,
1503,MARIANA,2.29E-05,
1158,SAN PEDRO MÃRTIR FOVISSSTE,2.29E-05,
1495,SAN MIGUEL TOXIAC,2.29E-05,
1493,REAL DE LAS LOMAS,2.29E-05,
1490,FORTIN DE CHIMALISTAC,2.29E-05,
1343,LOS ROBLES,2.29E-05,
952,OCOTLA,2.29E-05,
1332,MONTE ALBAN,2.29E-05,
1549,Pueblo San Antonio Tecomitl (LAS ARBOLEDAS),2.29E-05,
1293,EL OLIVO (SAN LORENZO),2.29E-05,
749,BARRIO DE CARAMAGÂEY,2.29E-05,
1109,REAL DEL BOSQUE,2.29E-05,
1450,DR. PEDRO R BERNABE,2.29E-05,
1554,AMPLIACION VERACRUZANA,2.29E-05,
1476,ERMITA CHURUBUSCO,2.29E-05,
1475,VILLA DEL SUR,2.29E-05,
1573,EL POLITOCO,2.29E-05,
1473,ESTADO DE VERACRUZ,2.29E-05,
1570,EL ARBOL AMPLIACION,2.29E-05,
1424,TEZONTITLA,2.29E-05,
1558,CUCHILLA TEPEXIMILPA,2.29E-05,
1145,DURAZNOTITLA,2.29E-05,
1399,CAMINO REAL DE TETELPAN,2.29E-05,
1150,ACUEDUCTO XOCHIMILCO,2.29E-05,
634,1ER REACOMODO CORPUS CHRISTI,2.29E-05,
1551,NUEVA TOTOTITLA,2.29E-05,
1522,EDUARDO MOLINA I,2.29E-05,
1221,DEL PARQUE,2.29E-05,
1514,LA ESTRELLA,2.29E-05,
1445,CORRALES,1.72E-05,
1511,PLAZUELA DEL PEDREGAL,1.72E-05,
1518,3 DE MAYO,1.72E-05,
379,ESTADO DE ANAHUAC,1.72E-05,
1390,TEMPRANILLO,1.72E-05,
1056,RESIDENCIAL PEDREGAL PICACHO,1.72E-05,
1567,DEPORTIVA C.E.T. NO. 1,1.72E-05,
1129,LOS ARCOS,1.72E-05,
1531,PLAN DE AYALA,1.72E-05,
1453,LI LEGISLATURA,1.72E-05,
1589,SIRACUSA 240,1.72E-05,
1574,CASTILLO GRANDE I,1.72E-05,
1530,EL JAZMIN,1.72E-05,
1459,VIADUCTO TRONCOSO,1.72E-05,
1091,TELONCOCHABACANO,1.72E-05,
1429,LA HERRADURA DEL PUEBLO TETELPAN,1.72E-05,
1281,EDUARDO MOLINA II,1.72E-05,
1428,AZTLAN LOS APACHES,1.72E-05,
1584,ZAPATA,1.72E-05,
1509,U.H. TLALTEPA,1.72E-05,
1510,MALVINAS MEXICANAS,1.72E-05,
1563,LOMAS DE SAN PEDRO,1.72E-05,
1346,TEJOMULCO EL ALTO,1.72E-05,
1500,VILLA ROYALE,1.72E-05,
1499,GALEANA,1.72E-05,
1468,CEDROS SANTA LUCIA,1.72E-05,
1536,JUSTICIA SOCIAL,1.72E-05,
1537,CANTAROS,1.72E-05,
1550,ESPACIO ECOLOGICO CUICUILCO,1.72E-05,
1427,EL RINCON,1.72E-05,
590,LAS MAROMAS,1.72E-05,
1348,PEDREGAL DE AMINCO,1.72E-05,
1546,VILLA ESMERALDA,1.14E-05,
1406,LADERA,1.14E-05,
1317,MULTIROL TLAXCANES (HERRADURA TLAXCANES),1.14E-05,
1590,UNIVERSAL,1.14E-05,
1592,TLAXCALTENCO LA MESA,1.14E-05,
1461,Paseo de las Lomas (Alta Vista),1.14E-05,
1527,BOSCOSO,1.14E-05,
1548,TECALCAPA DEL PUEBLO TETELPAN,1.14E-05,
1575,RINCON DE GUANAJUATO,1.14E-05,
1577,RIO DE GUADALUPE FOVISSSTE,1.14E-05,
740,COMPANIA DE LUZ,1.14E-05,
1576,EL BOSQUE - CONDOMINIO,1.14E-05,
1354,AREA FEDERAL PANTEON CIVIL SAN NICOLAS TOLENTINO,1.14E-05,
1400,INSURGENTES SAN ANGEL,1.14E-05,
1381,VERONICA CASTRO,1.14E-05,
1401,DIAMANTE,1.14E-05,
1545,GAVILAN I II III Y IV,1.14E-05,
1444,BARRIO DE CARAMAGÃEY,1.14E-05,
1587,VILLA DE SAN FRANCISCO,1.14E-05,
1387,LA MAGUEYERA,1.14E-05,
1585,U.S.I.T.A.T.Y.R.,1.14E-05,
710,COPILCO,1.14E-05,
1434,VISTA HERMOSA I,1.14E-05,
1580,ZONA DE RESERVA ECOLOGICA,1.14E-05,
1581,LORETO Y PENA POBRE,1.14E-05,
1568,TLACAELEL 2,1.14E-05,
1483,BELEN DE LAS FLORES SECCION LOMITA,1.14E-05,
1264,MIGUEL GAONA ARMENTA,1.14E-05,
1533,ACASULCO,1.14E-05,
1244,LA ESCALERA,1.14E-05,
1519,RINCON DE SAN JUAN,1.14E-05,
1508,SAN JOSE ZACATEPEC,1.14E-05,
1477,TEPEYECA,1.14E-05,
1532,COLORINES,1.14E-05,
1517,EL MIRADOR (NATIVITAS),1.14E-05,
1486,TEQUIMILA,1.14E-05,
1487,EL ARENAL,1.14E-05,
1505,RESIDENCIAL LA CANTERA,1.14E-05,
1538,SAN AGUSTIN (DEL PUEBLO DE SAN ANDRES MIXQUIC),1.14E-05,
1559,SAN DIEGO,1.14E-05,
1565,REDENCION,1.14E-05,
72,CENTRO,0.026086708,
84,DEL VALLE CENTRO,0.013781657,
29,DOCTORES,0.011395049,
27,ROMA NORTE,0.01101159,
46,NARVARTE,0.010954357,
34,AGRICOLA ORIENTAL,0.009071398,
170,BUENAVISTA,0.008436114,
3,MORELOS,0.007966805,
78,GUERRERO,0.007709257,
53,AGRICOLA PANTITLAN,0.007692088,
37,JUÃREZ,0.007188439,
55,PEDREGAL DE SANTO DOMINGO,0.006942338,
206,POLANCO,0.006673344,
119,PORTALES SUR,0.006209758,
94,SANTA MARIA LA RIBERA,0.005780512,
203,CENTRAL DE ABASTO,0.005660323,
209,OBRERA,0.005482902,
105,ANAHUAC,0.005047932,
193,GRANJAS MEXICO,0.004933467,
131,JARDIN BALBUENA,0.004864788,
66,HIPODROMO,0.004715982,
110,SAN ANDRES TOTOLTEPEC,0.004681643,
68,SANTA CRUZ ATOYAC,0.00464158,
104,NAPOLES,0.004601517,
226,DESARROLLO URBANO QUETZALCOATL,0.004504221,
213,LINDAVISTA,0.004315353,
106,EL ROSARIO,0.004235227,
97,ROMA SUR,0.004189441,
70,ZONA CENTRO,0.004166547,
472,SAN FELIPE DE JESUS,0.004126484,
181,SAN PEDRO DE LOS PINOS,0.004017742,
92,DEL CARMEN,0.004000572,
350,CUAUHTEMOC,0.003994849,
115,AJUSCO,0.003954786,
57,SANTA CRUZ MEYEHUALCO,0.003886107,
100,ÃLAMOS,0.003880383,
101,CHINAMPAC DE JUÃREZ,0.003760195,
10,PEDREGAL DE SANTA URSULA,0.003714408,
50,NONOALCO TLATELOLCO,0.003691515,
430,MOCTEZUMA 2A SECCION,0.003657176,
269,TACUBA,0.003445414,
42,TACUBAYA,0.003342395,
43,UNIDAD VICENTE GUERRERO,0.003302332,
175,SAN RAFAEL,0.003290886,
35,ESCANDON I SECCION,0.003205036,
343,JUAN ESCUTIA,0.00319359,
30,LEYES DE REFORMA 3A SECCION,0.003136357,
124,TABACALERA,0.003124911,
268,HEROES DE PADIERNA,0.003084848,
125,SAN MIGUEL,0.003079124,
378,JARDINES DEL PEDREGAL,0.002867363,
345,SAN MIGUEL TEOTONGO,0.002833023,
25,XALPA,0.002781514,
498,AMPLIACION CASAS ALEMÃN,0.002707111,
574,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,0.002626985,
166,SANTA BÃRBARA,0.002615539,
408,PERALVILLO,0.002598369,
271,ERMITA ZARAGOZA,0.002569752,
386,SANTA MARTHA ACATITLA,0.002569752,
192,LOMAS DE CHAPULTEPEC I SECCION,0.002558306,
616,SAN MIGUEL TOPILEJO,0.00252969,
26,GRANADA,0.002483903,
194,SAN MIGUEL CHAPULTEPEC,0.00247818,
71,LOMAS DE SAN LORENZO,0.00247818,
40,SAN ANGEL,0.002472457,
23,PIEDAD NARVARTE,0.002472457,
392,UNIDAD EJERCITO CONSTITUCIONALISTA,0.002466733,
62,GABRIEL RAMOS MILLÃN SECCION BRAMADERO,0.00246101,
135,VALLEJO,0.00246101,
12,PROVIDENCIA,0.00246101,
329,EJERCITO DE ORIENTE ZONA PENON,0.002415224,
86,ZEDEC SANTA FE,0.002375161,
482,TEPALCATES,0.002323651,
331,MAGDALENA DE LAS SALINAS,0.002289312,
528,LOS ÃNGELES,0.002260695,
161,TRANSITO,0.002243526,
41,2A. AMPLIACION SANTIAGO ACAHUALTEPEC,0.002214909,
179,SAN JOSE INSURGENTES,0.002214909,
150,SAN GREGORIO ATLAPULCO,0.002203463,
278,SANTA MARTHA ACATITLA SUR,0.002180569,
144,GUADALUPE TEPEYAC,0.002174846,
461,SANTA MARIA NONOALCO,0.0021634,
155,SAN PEDRO MÃRTIR,0.0021634,
174,POPOTLA,0.002157676,
277,INSURGENTES MIXCOAC,0.00214623,
242,TLALPAN CENTRO I,0.002134783,
300,SAN FRANCISCO CULHUACAN,0.00211189,
495,SAN JERONIMO LIDICE,0.002106167,
90,CAMPAMENTO 2 DE OCTUBRE,0.002106167,
141,TEPEYAC INSURGENTES,0.00209472,
433,SAN JUAN XALPA,0.002048934,
117,CENTRO DE AZCAPOTZALCO,0.002026041,
152,CONSTITUCION DE 1917,0.002026041,
409,CULHUACÃN CTM SECCION VII,0.002014594,
500,MIGUEL HIDALGO,0.002008871,
376,INDUSTRIAL,0.001997425,
217,NUEVA ATZACOALCO,0.001968808,
138,LOMAS DE SANTA FE,0.001945915,
566,SANTA MARTHA ACATITLA NORTE,0.001945915,
314,ZONA URBANA EJIDAL SANTA MARIA AZTAHUACAN,0.001923022,
186,NUEVA VALLEJO,0.001917299,
257,TORIELLO GUERRA,0.001911575,
570,NUEVA INDUSTRIAL VALLEJO,0.001894405,
542,CERRO DE LA ESTRELLA,0.001865789,
551,REFORMA POLITICA,0.001860066,
250,SAN LORENZO LA CEBADA,0.001860066,
295,CUAJIMALPA,0.001848619,
231,INFONAVIT IZTACALCO,0.001848619,
262,CAMPESTRE ARAGON,0.001842896,
15,CONDESA,0.001842896,
565,SANTA CRUZ ACALPIXCA - PUEBLO,0.001825726,
389,LOS REYES,0.001820003,
288,XOCO,0.001808556,
334,AMPLIACION GABRIEL RAMOS MILLÃN,0.001802833,
246,GENERAL IGNACIO ZARAGOZA,0.00179711,
222,EJERCITO DE AGUA PRIETA,0.00176277,
146,SAN JUAN DE ARAGON IV SECCION,0.001734154,
351,LOMAS DE PADIERNA,0.001734154,
443,CAMPESTRE CHURUBUSCO,0.00172843,
377,ATLAMPA,0.001722707,
633,SAN NICOLÃS TOTOLAPAN,0.001716984,
744,NATIVITAS,0.001711261,
656,PENSADOR MEXICANO,0.001711261,
114,EX-HIPODROMO DE PERALVILLO,0.001705537,
